UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",21162.0,156363.0,6180991.0
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",14653.0,21582.0,881566.0
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3424.0,22281.0,828727.0
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1675.0,22049.0,879474.0
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",19752.0,65912.0,2589767.0
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1115.0,40204.0,1652655.0
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",208.0,27588.0,940422.0
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",21075.0,133704.0,5182844.0
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",87.0,22659.0,998147.0
113000a,113,a,Forestry and Logging,8399.0,54183.0,2344844.0
113000b,113,b,Forestry and Logging,5041.0,8902.0,322013.0
113000c,113,c,Forestry and Logging,1871.0,12243.0,445805.0
113000d,113,d,Forestry and Logging,953.0,12564.0,498338.0
113000e,113,e,Forestry and Logging,7865.0,33709.0,1266156.0
113000f,113,f,Forestry and Logging,481.0,15276.0,695980.0
113000g,113,g,Forestry and Logging,25.0,1858.0,78741.0
113000h,113,h,Forestry and Logging,8371.0,50843.0,2040877.0
113000i,113,i,Forestry and Logging,28.0,3340.0,303967.0
113100a,1131,a,Timber Tract Operations,425.0,3024.0,184779.0
113100b,1131,b,Timber Tract Operations,296.0,465.0,19212.0
113100c,1131,c,Timber Tract Operations,66.0,411.0,19814.0
113100d,1131,d,Timber Tract Operations,27.0,363.0,14383.0
113100e,1131,e,Timber Tract Operations,389.0,1239.0,53409.0
113100f,1131,f,Timber Tract Operations,19.0,690.0,31378.0
113100g,1131,g,Timber Tract Operations,3.0,0.0,0.0
113100h,1131,h,Timber Tract Operations,411.0,1992.0,91025.0
113100i,1131,i,Timber Tract Operations,14.0,1032.0,93754.0
113110a,11311,a,Timber Tract Operations,425.0,3024.0,184779.0
113110b,11311,b,Timber Tract Operations,296.0,465.0,19212.0
113110c,11311,c,Timber Tract Operations,66.0,411.0,19814.0
113110d,11311,d,Timber Tract Operations,27.0,363.0,14383.0
113110e,11311,e,Timber Tract Operations,389.0,1239.0,53409.0
113110f,11311,f,Timber Tract Operations,19.0,690.0,31378.0
113110g,11311,g,Timber Tract Operations,3.0,0.0,0.0
113110h,11311,h,Timber Tract Operations,411.0,1992.0,91025.0
113110i,11311,i,Timber Tract Operations,14.0,1032.0,93754.0
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,160.0,1510.0,53419.0
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,103.0,133.0,6362.0
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,28.0,183.0,4635.0
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,11.0,153.0,5150.0
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,142.0,469.0,16147.0
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,11.0,321.0,11224.0
113200g,1132,g,Forest Nurseries and Gathering of Forest Products,4.0,513.0,8228.0
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,157.0,1303.0,35599.0
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,160.0,1510.0,53419.0
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,103.0,133.0,6362.0
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,28.0,183.0,4635.0
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,11.0,153.0,5150.0
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,142.0,469.0,16147.0
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,11.0,321.0,11224.0
113210g,11321,g,Forest Nurseries and Gathering of Forest Products,4.0,513.0,8228.0
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,157.0,1303.0,35599.0
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0
113300a,1133,a,Logging,7819.0,49649.0,2106646.0
113300b,1133,b,Logging,4642.0,8304.0,296439.0
113300c,1133,c,Logging,1777.0,11649.0,421356.0
