UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll,Receipts
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",22599,168634,8921632,50498772
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",15879,22902,1246874,9000501
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3539,23136,1124894,6625340
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1719,22554,1175555,6491849
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",21137,68592,3547323,22117690
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1153,42399,2344727,11759187
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",208,29243,1544475,7806538
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",22498,140234,7436525,41683415
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",101,28400,1485107,8815357
113000a,113,a,Forestry and Logging,7993,49741,2772977,15732126
113000b,113,b,Forestry and Logging,4924,8614,406060,3314983
113000c,113,c,Forestry and Logging,1768,11658,564208,3222517
113000d,113,d,Forestry and Logging,858,11339,595851,3037201
113000e,113,e,Forestry and Logging,7550,31611,1566119,9574701
113000f,113,f,Forestry and Logging,401,13106,803130,3758540
113000g,113,g,Forestry and Logging,19,1373,88467,447164
113000h,113,h,Forestry and Logging,7970,46090,2457716,13780405
113000i,113,i,Forestry and Logging,23,3651,315261,1951721
113100a,1131,a,Timber Tract Operations,458,3769,247657,1702572
113100b,1131,b,Timber Tract Operations,334,536,27783,257531
113100c,1131,c,Timber Tract Operations,65,416,23780,170199
113100d,1131,d,Timber Tract Operations,25,304,15471,97726
113100e,1131,e,Timber Tract Operations,424,1256,67034,525456
113100f,1131,f,Timber Tract Operations,22,580,34846,188505
113100h,1131,h,Timber Tract Operations,448,1996,104944,721130
113100i,1131,i,Timber Tract Operations,10,1773,142713,981442
113110a,11311,a,Timber Tract Operations,458,3769,247657,1702572
113110b,11311,b,Timber Tract Operations,334,536,27783,257531
113110c,11311,c,Timber Tract Operations,65,416,23780,170199
113110d,11311,d,Timber Tract Operations,25,304,15471,97726
113110e,11311,e,Timber Tract Operations,424,1256,67034,525456
113110f,11311,f,Timber Tract Operations,22,580,34846,188505
113110h,11311,h,Timber Tract Operations,448,1996,104944,721130
113110i,11311,i,Timber Tract Operations,10,1773,142713,981442
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,169,983,52175,234763
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,123,187,9688,57861
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,27,171,8326,37322
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,7,88,3853,15618
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,157,446,21867,110801
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,7,292,12462,52478
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,166,837,37090,167016
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3,146,15085,67747
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,169,983,52175,234763
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,123,187,9688,57861
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,27,171,8326,37322
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,7,88,3853,15618
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,157,446,21867,110801
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,7,292,12462,52478
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,166,837,37090,167016
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3,146,15085,67747
113300a,1133,a,Logging,7369,44989,2473145,13794791
113300b,1133,b,Logging,4467,7891,368589,2999591
113300c,1133,c,Logging,1676,11071,532102,3014996
113300d,1133,d,Logging,826,10947,576527,2923857
113300e,1133,e,Logging,6969,29909,1477218,8938444
113300f,1133,f,Logging,372,12234,755822,3517557
113300g,1133,g,Logging,15,1114,82642,436258
113300h,1133,h,Logging,7356,43257,2315682,12892259
113300i,1133,i,Logging,13,1732,157463,902532
113310a,11331,a,Logging,7369,44989,2473145,13794791
113310b,11331,b,Logging,4467,7891,368589,2999591
113310c,11331,c,Logging,1676,11071,532102,3014996
113310d,11331,d,Logging,826,10947,576527,2923857
113310e,11331,e,Logging,6969,29909,1477218,8938444
113310f,11331,f,Logging,372,12234,755822,3517557
113310g,11331,g,Logging,15,1114,82642,436258
113310h,11331,h,Logging,7356,43257,2315682,12892259
113310i,11331,i,Logging,13,1732,157463,902532
114000a,114,a,"Fishing, Hunting and Trapping",3060,7243,532777,3049626
114000b,114,b,"Fishing, Hunting and Trapping",2796,2358,163922,1199165
114000c,114,c,"Fishing, Hunting and Trapping",145,952,44116,224138
114000d,114,d,"Fishing, Hunting and Trapping",63,818,47732,204262
114000e,114,e,"Fishing, Hunting and Trapping",3004,4128,255770,1627565
114000f,114,f,"Fishing, Hunting and Trapping",40,1197,88740,319304
114000g,114,g,"Fishing, Hunting and Trapping",13,1739,165853,945065
